feedback_id,application_id,feedback_date,candidate_rating,candidate_sentiment,feedback_text
FDB00001,APP00001,2026-06-09,4,Negative,Good recruiter follow-up and clarity.
FDB00002,APP00001,2026-06-16,5,Positive,Process took longer than expected.
FDB00003,APP00002,2026-03-07,2,Positive,Good recruiter follow-up and clarity.
FDB00004,APP00002,2026-03-13,2,Neutral,Process took longer than expected.
FDB00005,APP00004,2026-05-29,4,Positive,Interview scheduling could be improved.
FDB00006,APP00004,2026-06-05,4,Neutral,Clear communication and fast process.
FDB00007,APP00005,2026-05-03,4,Neutral,Good recruiter follow-up and clarity.
FDB00008,APP00006,2026-04-01,5,Positive,Good recruiter follow-up and clarity.
FDB00009,APP00006,2026-04-03,1,Neutral,Interview scheduling could be improved.
FDB00010,APP00007,2026-06-01,1,Neutral,Clear communication and fast process.
FDB00011,APP00009,2026-03-11,3,Negative,Good recruiter follow-up and clarity.
FDB00012,APP00010,2026-06-26,5,Negative,Interview scheduling could be improved.
FDB00013,APP00010,2026-07-04,4,Negative,Interview scheduling could be improved.
FDB00014,APP00011,2026-05-04,4,Neutral,Good recruiter follow-up and clarity.
FDB00015,APP00011,2026-05-13,2,Positive,Clear communication and fast process.
FDB00016,APP00013,2026-04-28,3,Neutral,Interview scheduling could be improved.
FDB00017,APP00013,2026-05-06,5,Negative,Process took longer than expected.
FDB00018,APP00015,2026-03-05,5,Positive,Role expectations were explained well.
FDB00019,APP00015,2026-03-13,5,Negative,Interview scheduling could be improved.
FDB00020,APP00016,2026-02-19,2,Positive,Interview scheduling could be improved.
FDB00021,APP00016,2026-02-23,4,Neutral,Interview scheduling could be improved.
FDB00022,APP00018,2026-03-17,3,Neutral,Clear communication and fast process.
FDB00023,APP00018,2026-03-19,5,Negative,Process took longer than expected.
FDB00024,APP00020,2026-03-27,3,Negative,Process took longer than expected.
FDB00025,APP00020,2026-04-03,4,Positive,Process took longer than expected.
FDB00026,APP00022,2026-05-21,1,Negative,Interview scheduling could be improved.
FDB00027,APP00022,2026-05-30,4,Negative,Clear communication and fast process.
FDB00028,APP00023,2026-02-23,1,Neutral,Interview scheduling could be improved.
FDB00029,APP00024,2026-05-30,2,Positive,Process took longer than expected.
FDB00030,APP00024,2026-06-03,1,Neutral,Clear communication and fast process.
FDB00031,APP00026,2026-03-02,5,Neutral,Good recruiter follow-up and clarity.
FDB00032,APP00027,2026-02-27,5,Negative,Role expectations were explained well.
FDB00033,APP00028,2026-03-08,2,Negative,Good recruiter follow-up and clarity.
FDB00034,APP00028,2026-03-15,1,Positive,Role expectations were explained well.
FDB00035,APP00030,2026-06-13,1,Negative,Process took longer than expected.
